date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
29/08/2024,7.25(-0.68 %),0,0,0,0,0,0,"5,948,364",0.82%
28/08/2024,7.3(-1.35 %),0,0,0,0,0,0,"5,948,364",0.82%
27/08/2024,7.4(0.00 %),0,0,0,0,0,0,"5,948,364",0.82%
26/08/2024,7.4(-0.27 %),0,0,0,0,0,0,"5,948,364",0.82%
23/08/2024,7.42(0.27 %),0,0,0,0,0,0,"5,948,364",0.82%
22/08/2024,7.4(-1.07 %),0,0,0,0,0,0,"5,948,364",0.82%
21/08/2024,7.48(-1.58 %),0,0,0,0,0,0,"5,948,364",0.82%
20/08/2024,7.6(0.00 %),0,0,0,0,0,0,"5,948,364",0.82%
19/08/2024,7.6(-0.65 %),0,0,0,0,0,0,"5,948,364",0.82%
16/08/2024,7.65(-3.16 %),0,0,0,0,0,0,"5,948,364",0.82%
15/08/2024,7.9(5.47 %),0,0,0,0,0,0,"5,948,364",0.82%
14/08/2024,7.49(2.60 %),0,0,0,0,0,0,"5,948,364",0.82%
13/08/2024,7.3(3.99 %),0,0,0,0,0,0,"5,948,264",0.82%
12/08/2024,7.02(-5.90 %),-100,-0,0,0,100,0,"5,948,264",0.82%
09/08/2024,7.46(0.00 %),0,0,0,0,0,0,"5,948,264",0.82%
08/08/2024,7.46(0.13 %),0,0,0,0,0,0,"5,948,264",0.82%
07/08/2024,7.45(0.13 %),0,0,0,0,0,0,"5,948,264",0.82%
06/08/2024,7.44(-1.06 %),0,0,0,0,0,0,"5,948,264",0.82%
05/08/2024,7.52(-2.21 %),0,0,0,0,0,0,"5,948,264",0.82%
02/08/2024,7.69(-1.28 %),0,0,0,0,0,0,"5,948,264",0.82%
01/08/2024,7.79(-0.76 %),0,0,0,0,0,0,"5,948,264",0.82%
31/07/2024,7.85(0.64 %),0,0,0,0,0,0,"5,948,264",0.82%
30/07/2024,7.8(-1.76 %),0,0,0,0,0,0,"5,948,264",0.82%
29/07/2024,7.94(-0.75 %),0,0,0,0,0,0,"5,948,264",0.82%
24/07/2024,8.1(-1.82 %),0,0,0,0,0,0,"5,948,264",0.82%
23/07/2024,8.25(2.23 %),"1,000",0.01,"1,000",0.01,0,0,"5,948,264",0.82%
22/07/2024,8.07(-0.37 %),0,0,0,0,0,0,"5,949,264",0.81%
19/07/2024,8.1(-1.46 %),0,0,0,0,0,0,"5,949,264",0.81%
18/07/2024,8.22(-1.79 %),0,0,0,0,0,0,"5,949,264",0.81%
17/07/2024,8.37(3.98 %),0,0,0,0,0,0,"5,949,264",0.81%
16/07/2024,8.05(-0.62 %),0,0,0,0,0,0,"5,949,264",0.81%
15/07/2024,8.1(-1.22 %),0,0,0,0,0,0,"5,949,264",0.81%
12/07/2024,8.2(-1.20 %),0,0,0,0,0,0,"5,949,264",0.81%
11/07/2024,8.3(-0.95 %),0,0,0,0,0,0,"5,949,264",0.81%
10/07/2024,8.38(-1.06 %),0,0,0,0,0,0,"5,949,264",0.81%
08/07/2024,8.15(0.49 %),0,0,0,0,0,0,"5,949,264",0.81%
04/07/2024,0(0.00 %),0,0,0,0,0,0,"5,949,264",0.81%
03/07/2024,0(0.00 %),0,0,0,0,0,0,"5,948,664",0.82%
02/07/2024,0(0.00 %),-600,-0,0,0,600,0,"5,948,664",0.82%
01/07/2024,8.12(-1.58 %),0,0,0,0,0,0,"5,948,664",0.82%
