date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,25,--,1.7(7.30 %),"11,700",0.27,0,0,26.7,26.7,22.9
11/09/2024,23.8,--,0(0.00 %),"11,400",0.27,0,0,23.8,24,22.9
10/09/2024,23.8,--,-0.4(-1.65 %),"14,500",0.34,0,0,24.2,24.2,23.1
09/09/2024,24.5,--,-0.5(-2.00 %),"35,500",0.86,0,0,28,28,23.9
06/09/2024,24.9,--,0(0.00 %),"10,500",0.26,0,0,28,28,24.8
05/09/2024,25,--,0.3(1.21 %),"16,800",0.42,0,0,28.4,28.4,24.3
04/09/2024,26.2,--,2.6(11.02 %),"42,000",1.04,0,0,23.4,26.5,23.4
30/08/2024,23.6,--,-0.2(-0.84 %),"14,500",0.34,0,0,24,24,23.4
29/08/2024,23.8,--,0.5(2.15 %),"12,100",0.29,0,0,23.5,23.8,23.5
28/08/2024,23.6,--,0(0.00 %),"31,400",0.73,"50,000",1.1,24,24,23
27/08/2024,23.2,--,-0.6(-2.52 %),"10,500",0.25,0,0,24.5,24.5,23.1
26/08/2024,24,--,0.9(3.90 %),"12,700",0.3,0,0,24.5,24.5,23.1
23/08/2024,23.7,--,1.2(5.33 %),"51,200",1.18,0,0,22.8,23.7,22.3
22/08/2024,22.6,--,-0.3(-1.31 %),"16,300",0.37,0,0,25.8,25.8,22.2
21/08/2024,22.8,--,0.3(1.33 %),"35,700",0.82,0,0,25,25.4,22.5
20/08/2024,22.7,--,0.1(0.44 %),"37,700",0.85,0,0,25.9,25.9,21.7
19/08/2024,23,--,-0.1(-0.43 %),"39,300",0.89,0,0,25,26.5,21.9
16/08/2024,24,--,2.1(9.59 %),"92,900",2.14,0,0,21.9,25.1,21.9
15/08/2024,21.8,--,-2.4(-9.92 %),"117,300",2.57,0,0,23,23.5,21.8
14/08/2024,25,--,1.2(5.04 %),"55,500",1.34,0,0,27.3,27.3,22.4
14/08/2024,25,--,1.2(5.04 %),"55,500",1.34,0,0,27.3,27.3,22.4
13/08/2024,23.8,--,3.1(14.98 %),"179,400",4.26,0,0,23.8,23.8,23.1
12/08/2024,20.7,--,2.7(15.00 %),"43,800",0.91,0,0,20.7,20.7,20.7
09/08/2024,18,--,5.1(39.53 %),"8,200",0.15,0,0,18,18,18
