ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
bmi,11/09/2024,"63,000",1.45,"68,900",1.6,"-5,900",-0.15
bmi,10/09/2024,"10,000",0.24,0,0.0,"10,000",0.24
bmi,09/09/2024,"15,000",0.35,0,0.0,"15,000",0.35
bmi,06/09/2024,"10,000",0.24,0,0.0,"10,000",0.24
bmi,05/09/2024,"10,000",0.24,0,0.0,"10,000",0.24
bmi,04/09/2024,"5,000",0.12,0,0.0,"5,000",0.12
bmi,29/08/2024,"10,000",0.24,0,0.0,"10,000",0.24
bmi,28/08/2024,"63,600",1.56,"5,500",0.14,"58,100",1.42
bmi,27/08/2024,"10,000",0.25,0,0.0,"10,000",0.25
bmi,26/08/2024,"25,000",0.62,"1,600",0.04,"23,400",0.58
bmi,23/08/2024,"4,400",0.11,0,0.0,"4,400",0.11
bmi,22/08/2024,"55,000",1.38,"2,900",0.07,"52,100",1.31
bmi,21/08/2024,"53,900",1.33,0,0.0,"53,900",1.33
bmi,20/08/2024,"39,900",0.98,0,0.0,"39,900",0.98
bmi,19/08/2024,"29,700",0.73,0,0.0,"29,700",0.73
bmi,16/08/2024,"33,300",0.81,"27,100",0.67,"6,200",0.15
bmi,15/08/2024,"120,100",2.9,"120,000",2.89,100,0.01
bmi,14/08/2024,"60,300",1.42,0,0.0,"60,300",1.42
bmi,13/08/2024,"23,700",0.56,0,0.0,"23,700",0.56
bmi,12/08/2024,"92,200",2.17,0,0.0,"92,200",2.17
bmi,09/08/2024,"38,000",0.89,0,0.0,"38,000",0.89
bmi,08/08/2024,"39,700",0.92,0,0.0,"39,700",0.92
bmi,07/08/2024,"18,900",0.44,0,0.0,"18,900",0.44
bmi,06/08/2024,"10,800",0.25,0,0.0,"10,800",0.25
bmi,05/08/2024,"29,300",0.68,0,0.0,"29,300",0.68
bmi,02/08/2024,"5,000",0.12,0,0.0,"5,000",0.12
bmi,01/08/2024,"50,000",1.2,0,0.0,"50,000",1.2
bmi,29/07/2024,"31,900",0.79,0,0.0,"31,900",0.79
bmi,26/07/2024,"24,000",0.58,0,0.0,"24,000",0.58
bmi,25/07/2024,"66,600",1.61,0,0.0,"66,600",1.61
bmi,24/07/2024,"50,700",1.22,0,0.0,"50,700",1.22
bmi,16/07/2024,0,0.0,"59,000",1.59,"-59,000",-1.59
bmi,12/07/2024,"20,000",0.52,0,0.0,"20,000",0.52
bmi,10/07/2024,0,0.0,"7,400",0.2,"-7,400",-0.2
bmi,09/07/2024,0,0.0,"194,000",5.23,"-194,000",-5.23
bmi,05/07/2024,0,0.0,"29,000",0.76,"-29,000",-0.76
bmi,02/07/2024,0,0.0,"1,000",0.03,"-1,000",-0.03
bmi,27/06/2024,0,0.0,"70,000",1.83,"-70,000",-1.83
bmi,21/06/2024,"19,000",0.5,0,0.0,"19,000",0.5
bmi,20/06/2024,0,0.0,"163,000",4.29,"-163,000",-4.29
bmi,19/06/2024,0,0.0,"114,600",2.95,"-114,600",-2.95
bmi,18/06/2024,0,0.0,"11,800",0.3,"-11,800",-0.3
bmi,14/06/2024,"19,200",0.48,0,0.0,"19,200",0.48
bmi,12/06/2024,0,0.0,"200,000",5.06,"-200,000",-5.06
bmi,28/05/2024,0,0.0,"79,800",2.2,"-79,800",-2.2
bmi,27/05/2024,0,0.0,"62,500",1.65,"-62,500",-1.65
bmi,24/05/2024,0,0.0,"148,800",3.91,"-148,800",-3.91
bmi,23/05/2024,0,0.0,"430,000",11.1,"-430,000",-11.1
bmi,22/05/2024,0,0.0,"72,300",1.81,"-72,300",-1.81
bmi,21/05/2024,0,0.0,"122,200",3.04,"-122,200",-3.04
bmi,20/05/2024,0,0.0,"384,900",9.6,"-384,900",-9.6
bmi,10/05/2024,0,0.0,"15,000",0.36,"-15,000",-0.36
bmi,24/04/2024,0,0.0,"4,100",0.09,"-4,100",-0.09
bmi,16/04/2024,"64,100",1.41,0,0.0,"64,100",1.41
bmi,27/03/2024,0,0.0,"28,600",0.7,"-28,600",-0.7
bmi,25/03/2024,0,0.0,"29,800",0.74,"-29,800",-0.74
bmi,15/03/2024,0,0.0,"27,000",0.66,"-27,000",-0.66
bmi,14/03/2024,200,0.0,0,0.0,200,0.0
bmi,08/03/2024,0,0.0,"97,000",2.27,"-97,000",-2.27
bmi,21/02/2024,0,0.0,100,0.0,-100,-0.0
bmi,15/02/2024,"20,000",0.44,0,0.0,"20,000",0.44
bmi,06/02/2024,"31,000",0.68,0,0.0,"31,000",0.68
bmi,05/02/2024,"46,000",1.01,0,0.0,"46,000",1.01
bmi,31/01/2024,0,0.0,"100,000",2.17,"-100,000",-2.17
