date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,25 ( 7.3 %),23,"112,400","4,886.96",11,"46,800","4,255","65,600",avg
11/09/2024,23.8 ( 0 %),35,"19,800",565.71,12,"51,800","4,317","-32,000",avg
10/09/2024,23.8 ( -1.65 %),42,"35,000",833.33,18,"51,800","2,878","-16,800",avg
09/09/2024,24.5 ( -2 %),43,"58,600","1,362.79",34,"80,900","2,379","-22,300",avg
06/09/2024,24.9 ( 0 %),22,"30,100","1,368.18",19,"48,000","2,526","-17,900",avg
05/09/2024,25 ( 1.21 %),23,"38,900","1,691.3",25,"71,100","2,844","-32,200",avg
04/09/2024,26.2 ( 11.02 %),52,"64,700","1,244.23",40,"75,900","1,898","-11,200",avg
30/08/2024,23.6 ( -0.84 %),36,"68,900","1,913.89",16,"57,800","3,612","11,100",avg
29/08/2024,23.8 ( 2.15 %),32,"331,000","10,343.75",19,"50,700","2,668","280,300",avg
28/08/2024,23.6 ( 0 %),39,"93,600","2,400",38,"59,500","1,566","34,100",avg
27/08/2024,23.2 ( -2.52 %),33,"43,600","1,321.21",38,"68,000","1,789","-24,400",avg
26/08/2024,24 ( 3.9 %),42,"222,200","5,290.48",41,"65,000","1,585","157,200",avg
23/08/2024,23.7 ( 5.33 %),82,"479,300","5,845.12",62,"113,000","1,823","366,300",avg
22/08/2024,22.6 ( -1.31 %),22,"156,800","7,127.27",52,"100,800","1,938","56,000",avg
21/08/2024,22.8 ( 1.33 %),65,"403,500","6,207.69",89,"71,800",807,"331,700",avg
20/08/2024,22.7 ( 0.44 %),68,"215,800","3,173.53",59,"98,800","1,675","117,000",avg
19/08/2024,23 ( -0.43 %),46,"181,900","3,954.35",65,"94,100","1,448","87,800",avg
16/08/2024,24 ( 9.59 %),63,"239,800","3,806.35",83,"172,000","2,072","67,800",avg
15/08/2024,21.8 ( -9.92 %),33,"484,700","14,687.88",64,"167,400","2,616","317,300",avg
14/08/2024,25 ( 5.04 %),103,"689,900","6,698.06",44,"78,700","1,789","611,200",avg
13/08/2024,23.8 ( 14.98 %),154,"886,700","5,757.79",29,"179,400","6,186","707,300",avg
12/08/2024,20.7 ( 15 %),85,"319,100","3,754.12",19,"43,800","2,305","275,300",avg
09/08/2024,18 ( 39.53 %),26,"693,900","26,688.46",5,"8,200","1,640","685,700",avg
