date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
29/08/2024,7.8 ( 0 %),555,"1,989,000","3,583.78",755,"3,234,400","4,284","-1,245,400"
28/08/2024,7.9 ( 1.28 %),496,"4,795,700","9,668.75",689,"3,361,400","4,879","1,434,300"
27/08/2024,7.9 ( 1.28 %),610,"2,037,700","3,340.49",714,"2,956,100","4,140","-918,400"
26/08/2024,7.9 ( 1.28 %),655,"4,059,000","6,196.95",762,"3,994,300","5,242","64,700"
23/08/2024,7.8 ( 0 %),584,"2,030,300","3,476.54",696,"3,419,600","4,913","-1,389,300"
22/08/2024,7.8 ( 1.3 %),720,"3,557,700","4,941.25","1,040","4,232,200","4,069","-674,500"
21/08/2024,7.8 ( 1.3 %),657,"2,388,900","3,636.07",753,"3,759,000","4,992","-1,370,100"
20/08/2024,7.8 ( 1.3 %),557,"1,879,600","3,374.51",722,"3,425,200","4,744","-1,545,600"
19/08/2024,7.8 ( 1.3 %),553,"1,605,600","2,903.44",650,"3,156,600","4,856","-1,551,000"
16/08/2024,7.7 ( 1.32 %),712,"6,296,700","8,843.68",754,"3,064,700","4,065","3,232,000"
15/08/2024,7.7 ( 1.32 %),436,"4,774,300","10,950.23",565,"2,554,000","4,520","2,220,300"
14/08/2024,7.7 ( 1.32 %),453,"1,291,000","2,849.89",553,"2,603,700","4,708","-1,312,700"
13/08/2024,7.7 ( 1.32 %),610,"1,429,600","2,343.61",471,"2,415,300","5,128","-985,700"
12/08/2024,7.7 ( 1.32 %),519,"1,412,600","2,721.77",556,"3,315,000","5,962","-1,902,400"
09/08/2024,7.6 ( 0 %),556,"1,342,800","2,415.11",485,"2,561,300","5,281","-1,218,500"
08/08/2024,7.6 ( 0 %),747,"1,905,000","2,550.2",565,"3,103,000","5,492","-1,198,000"
07/08/2024,7.7 ( 1.32 %),574,"1,666,000","2,902.44",503,"2,522,000","5,014","-856,000"
06/08/2024,7.7 ( 1.32 %),843,"2,954,200","3,504.39",459,"2,712,000","5,908","242,200"
05/08/2024,7.6 ( -1.3 %),"1,232","3,596,000","2,918.83",667,"5,004,300","7,503","-1,408,300"
02/08/2024,7.8 ( 0 %),"1,135","4,326,800","3,812.16",517,"4,082,400","7,896","244,400"
01/08/2024,7.9 ( 0 %),808,"3,232,400","4,000.5",852,"4,500,700","5,283","-1,268,300"
31/07/2024,8 ( 1.27 %),606,"1,683,200","2,777.56",663,"3,756,200","5,665","-2,073,000"
30/07/2024,7.9 ( 0 %),485,"1,541,600","3,178.56",604,"2,768,600","4,584","-1,227,000"
29/07/2024,7.9 ( 0 %),585,"1,780,800","3,044.1",590,"3,186,200","5,400","-1,405,400"
26/07/2024,7.9 ( 1.28 %),888,"2,423,900","2,729.62",569,"3,203,400","5,630","-779,500"
25/07/2024,7.9 ( 0 %),881,"2,903,600","3,295.8",494,"3,311,900","6,704","-408,300"
24/07/2024,7.9 ( 0 %),"1,039","3,026,600","2,912.99",632,"3,003,900","4,753","22,700"
23/07/2024,7.9 ( -1.25 %),918,"1,982,600","2,159.69",746,"3,478,500","4,663","-1,495,900"
22/07/2024,8.1 ( 0 %),"1,093","3,234,000","2,958.83",867,"4,634,400","5,345","-1,400,400"
19/07/2024,8.1 ( -1.22 %),933,"2,732,100","2,928.3",937,"5,160,400","5,507","-2,428,300"
18/07/2024,8.3 ( 0 %),734,"2,248,900","3,063.9",892,"4,582,900","5,138","-2,334,000"
17/07/2024,8.3 ( 2.47 %),"1,457","5,803,700","3,983.32","2,018","9,355,600","4,636","-3,551,900"
16/07/2024,8.1 ( 1.25 %),712,"2,050,700","2,880.2",804,"3,491,600","4,343","-1,440,900"
15/07/2024,8.1 ( 0 %),766,"1,757,700","2,294.65",631,"3,087,700","4,893","-1,330,000"
12/07/2024,8.1 ( 0 %),757,"1,627,200","2,149.54",573,"2,297,200","4,009","-670,000"
11/07/2024,8.2 ( 1.23 %),562,"1,540,400","2,740.93",740,"3,344,900","4,520","-1,804,500"
10/07/2024,8.1 ( 0 %),567,"1,545,200","2,725.22",739,"2,967,100","4,015","-1,421,900"
09/07/2024,8.2 ( 1.23 %),582,"1,850,700","3,179.9",807,"3,093,700","3,834","-1,243,000"
08/07/2024,8.2 ( 1.23 %),605,"1,789,700","2,958.18",676,"2,479,700","3,668","-690,000"
05/07/2024,8.2 ( 1.23 %),677,"1,788,400","2,641.65",636,"2,878,500","4,526","-1,090,100"
04/07/2024,8.1 ( 0 %),571,"1,654,100","2,896.85",735,"2,983,700","4,059","-1,329,600"
03/07/2024,8.1 ( 1.25 %),588,"2,252,700","3,831.12",657,"2,895,700","4,407","-643,000"
02/07/2024,8.1 ( 1.25 %),782,"2,176,000","2,782.61",586,"3,137,600","5,354","-961,600"
01/07/2024,8 ( 0 %),875,"2,356,300","2,692.91",509,"2,919,400","5,736","-563,100"
